Academic Year,University,Level of study,Employment Situation,Occupation,Number of Graduates
2014/15,Lingnan University,Research postgraduate,Further studies,Not in Full-time Employment,9
2014/15,Lingnan University,Research postgraduate,Underemployed,Not in Full-time Employment,3
2014/15,Lingnan University,Research postgraduate,Unemployed,Not in Full-time Employment,2
2014/15,Lingnan University,Undergraduate,FT employment,Accountants and Auditors,52
2014/15,Lingnan University,Undergraduate,FT employment,Artists,4
2014/15,Lingnan University,Undergraduate,FT employment,Authors | Journalists and Related Writers,41
2014/15,Lingnan University,Undergraduate,FT employment,Business Professionals,236
2014/15,Lingnan University,Undergraduate,FT employment,Clerical and Related Workers,24
2014/15,Lingnan University,Undergraduate,FT employment,Engineering Technicians,1
2014/15,Lingnan University,Undergraduate,FT employment,Government Officials (General Grades),3
2014/15,Lingnan University,Undergraduate,FT employment,Insurance | Real Estate | and Business Services,25
2014/15,Lingnan University,Undergraduate,FT employment,Legal Workers,4
2014/15,Lingnan University,Undergraduate,FT employment,Managers,22
2014/15,Lingnan University,Undergraduate,FT employment,Other Professionals and Technical Workers,13
2014/15,Lingnan University,Undergraduate,FT employment,Other Service Workers,17
2014/15,Lingnan University,Undergraduate,FT employment,Protective Service Workers,4
2014/15,Lingnan University,Undergraduate,FT employment,Sales/Service Workers,25
2014/15,Lingnan University,Undergraduate,FT employment,Teaching Profession,72
2014/15,Lingnan University,Undergraduate,FT employment,Workers not reporting any occupation,20
2014/15,Lingnan University,Undergraduate,Further studies,Not in Full-time Employment,60
2014/15,Lingnan University,Undergraduate,Others,Not in Full-time Employment,14
2014/15,Lingnan University,Undergraduate,Underemployed,Not in Full-time Employment,32
2014/15,Lingnan University,Undergraduate,Unemployed,Not in Full-time Employment,6
2014/15,The Chinese University of Hong Kong,Research postgraduate,FT employment,Artists,1
2014/15,The Chinese University of Hong Kong,Research postgraduate,FT employment,Authors | Journalists and Related Writers,1
2014/15,The Chinese University of Hong Kong,Research postgraduate,FT employment,Business Professionals,22
2014/15,The Chinese University of Hong Kong,Research postgraduate,FT employment,Engineers,7
2014/15,The Chinese University of Hong Kong,Research postgraduate,FT employment,Government Officials (General Grades),1
2014/15,The Chinese University of Hong Kong,Research postgraduate,FT employment,Medical and Health Workers,2
2014/15,The Chinese University of Hong Kong,Research postgraduate,FT employment,Physical and Life Scientists,16
2014/15,The Chinese University of Hong Kong,Research postgraduate,FT employment,Religious Workers,1
2014/15,The Chinese University of Hong Kong,Research postgraduate,FT employment,System Analysts and Computer Programmers,14
2014/15,The Chinese University of Hong Kong,Research postgraduate,FT employment,Teaching Profession,136
2014/15,The Chinese University of Hong Kong,Research postgraduate,FT employment,Workers not reporting any occupation,16
2014/15,The Chinese University of Hong Kong,Research postgraduate,Further studies,Not in Full-time Employment,54
2014/15,The Chinese University of Hong Kong,Research postgraduate,Others,Not in Full-time Employment,100
2014/15,The Chinese University of Hong Kong,Research postgraduate,Underemployed,Not in Full-time Employment,10
2014/15,The Chinese University of Hong Kong,Research postgraduate,Unemployed,Not in Full-time Employment,26
2014/15,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Architects and Surveyors,31
2014/15,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Authors | Journalists and Related Writers,2
2014/15,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Business Professionals,4
2014/15,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Clerical and Related Workers,1
2014/15,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Engineers,1
2014/15,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Legal Workers,22
2014/15,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Medical and Health Workers,12
2014/15,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Teaching Profession,149
2014/15,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Workers not reporting any occupation,1
2014/15,The Chinese University of Hong Kong,Taught postgraduate,Further studies,Not in Full-time Employment,5
2014/15,The Chinese University of Hong Kong,Taught postgraduate,Others,Not in Full-time Employment,2
2014/15,The Chinese University of Hong Kong,Taught postgraduate,Underemployed,Not in Full-time Employment,3
2014/15,The Chinese University of Hong Kong,Taught postgraduate,Unemployed,Not in Full-time Employment,6
2014/15,The Chinese University of Hong Kong,Undergraduate,FT employment,Accountants and Auditors,150
2014/15,The Chinese University of Hong Kong,Undergraduate,FT employment,Agriculture and Fishery Workers,3
2014/15,The Chinese University of Hong Kong,Undergraduate,FT employment,Aircraft and Ship Officers,2
2014/15,The Chinese University of Hong Kong,Undergraduate,FT employment,Architects and Surveyors,51
2014/15,The Chinese University of Hong Kong,Undergraduate,FT employment,Artists,17
2014/15,The Chinese University of Hong Kong,Undergraduate,FT employment,Authors | Journalists and Related Writers,114
2014/15,The Chinese University of Hong Kong,Undergraduate,FT employment,Business Professionals,687
2014/15,The Chinese University of Hong Kong,Undergraduate,FT employment,Clerical and Related Workers,33
2014/15,The Chinese University of Hong Kong,Undergraduate,FT employment,Economists | Statisticians and Mathematicians,69
2014/15,The Chinese University of Hong Kong,Undergraduate,FT employment,Engineering Technicians,3
2014/15,The Chinese University of Hong Kong,Undergraduate,FT employment,Engineers,92
2014/15,The Chinese University of Hong Kong,Undergraduate,FT employment,Government Administrators and Diplomats,1
2014/15,The Chinese University of Hong Kong,Undergraduate,FT employment,Government Officials (General Grades),33
2014/15,The Chinese University of Hong Kong,Undergraduate,FT employment,Insurance | Real Estate | and Business Services,24
2014/15,The Chinese University of Hong Kong,Undergraduate,FT employment,Legal Workers,14
2014/15,The Chinese University of Hong Kong,Undergraduate,FT employment,Managers,24
2014/15,The Chinese University of Hong Kong,Undergraduate,FT employment,Medical and Health Workers,436
2014/15,The Chinese University of Hong Kong,Undergraduate,FT employment,Other Professionals and Technical Workers,92
2014/15,The Chinese University of Hong Kong,Undergraduate,FT employment,Other Service Workers,5
2014/15,The Chinese University of Hong Kong,Undergraduate,FT employment,Physical and Life Science Technicians,16
2014/15,The Chinese University of Hong Kong,Undergraduate,FT employment,Physical and Life Scientists,20
2014/15,The Chinese University of Hong Kong,Undergraduate,FT employment,Production and Related Workers,1
2014/15,The Chinese University of Hong Kong,Undergraduate,FT employment,Protective Service Workers,8
2014/15,The Chinese University of Hong Kong,Undergraduate,FT employment,Religious Workers,2
2014/15,The Chinese University of Hong Kong,Undergraduate,FT employment,Sales/Service Workers,30
2014/15,The Chinese University of Hong Kong,Undergraduate,FT employment,System Analysts and Computer Programmers,197
2014/15,The Chinese University of Hong Kong,Undergraduate,FT employment,Teaching Profession,264
2014/15,The Chinese University of Hong Kong,Undergraduate,FT employment,Workers not reporting any occupation,57
2014/15,The Chinese University of Hong Kong,Undergraduate,Further studies,Not in Full-time Employment,499
2014/15,The Chinese University of Hong Kong,Undergraduate,Others,Not in Full-time Employment,73
2014/15,The Chinese University of Hong Kong,Undergraduate,Underemployed,Not in Full-time Employment,51
2014/15,The Chinese University of Hong Kong,Undergraduate,Unemployed,Not in Full-time Employment,81
2014/15,The Education University of Hong Kong,Research postgraduate,FT employment,Teaching Profession,8
2014/15,The Education University of Hong Kong,Research postgraduate,Further studies,Not in Full-time Employment,2
2014/15,The Education University of Hong Kong,Research postgraduate,Unemployed,Not in Full-time Employment,1
2014/15,The Education University of Hong Kong,Sub-degree,FT employment,Business Professionals,1
2014/15,The Education University of Hong Kong,Sub-degree,FT employment,Clerical and Related Workers,2
2014/15,The Education University of Hong Kong,Sub-degree,FT employment,Other Professionals and Technical Workers,1
2014/15,The Education University of Hong Kong,Sub-degree,FT employment,Other Service Workers,2
2014/15,The Education University of Hong Kong,Sub-degree,FT employment,Sales/Service Workers,1
2014/15,The Education University of Hong Kong,Sub-degree,FT employment,Teaching Profession,178
2014/15,The Education University of Hong Kong,Sub-degree,Further studies,Not in Full-time Employment,2
2014/15,The Education University of Hong Kong,Sub-degree,Underemployed,Not in Full-time Employment,14
2014/15,The Education University of Hong Kong,Taught postgraduate,FT employment,Artists,1
2014/15,The Education University of Hong Kong,Taught postgraduate,FT employment,Business Professionals,1
2014/15,The Education University of Hong Kong,Taught postgraduate,FT employment,Clerical and Related Workers,1
2014/15,The Education University of Hong Kong,Taught postgraduate,FT employment,Teaching Profession,123
2014/15,The Education University of Hong Kong,Taught postgraduate,Further studies,Not in Full-time Employment,2
2014/15,The Education University of Hong Kong,Taught postgraduate,Others,Not in Full-time Employment,1
2014/15,The Education University of Hong Kong,Taught postgraduate,Underemployed,Not in Full-time Employment,6
2014/15,The Education University of Hong Kong,Taught postgraduate,Unemployed,Not in Full-time Employment,3
2014/15,The Education University of Hong Kong,Undergraduate,FT employment,Architects and Surveyors,1
2014/15,The Education University of Hong Kong,Undergraduate,FT employment,Artists,6
2014/15,The Education University of Hong Kong,Undergraduate,FT employment,Authors | Journalists and Related Writers,8
